frame,crow_all_counts_101,crow_feed_counts_101,crow_all_counts_102,crow_feed_counts_102,crow_all_counts_104,crow_feed_counts_104,crow_all_counts_106,crow_feed_counts_106
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,2,0,0,0
5,0,0,0,0,2,0,0,0
6,0,0,0,0,3,0,0,0
7,0,0,0,0,6,1,0,0
8,0,0,0,0,9,2,0,0
9,0,0,0,0,11,1,0,0
10,0,0,0,0,16,3,0,0
11,0,0,0,0,17,4,0,0
12,0,0,0,0,12,3,0,0
13,0,0,0,0,16,3,0,0
14,0,0,0,0,11,2,0,0
15,0,0,0,0,15,4,0,0
16,0,0,0,0,15,3,0,0
17,0,0,1,1,21,4,0,0
18,0,0,1,1,17,5,0,0
19,0,0,0,0,18,4,0,0
20,0,0,1,1,16,4,0,0
21,0,0,1,1,13,4,0,0
22,0,0,0,0,12,6,0,0
23,0,0,1,1,11,3,0,0
24,0,0,0,0,10,2,0,0
25,0,0,0,0,0,0,0,0
26,0,0,0,0,14,4,0,0
27,0,0,0,0,14,4,0,0
28,0,0,0,0,10,6,0,0
29,0,0,0,0,10,7,0,0
30,0,0,0,0,11,5,0,0
31,0,0,0,0,11,6,1,1
32,0,0,0,0,16,7,1,1
33,0,0,0,0,18,6,2,1
34,0,0,0,0,12,2,3,3
35,0,0,0,0,12,5,0,0
36,0,0,0,0,13,5,0,0
37,0,0,1,0,11,4,0,0
38,0,0,1,1,10,5,0,0
39,0,0,2,2,8,1,0,0
40,0,0,2,2,12,5,0,0
