Date,Location,Feed_Amount,No_Crow_eagle_standby,No_Crow_eagle_eat,Climax_No_eagle,Eagle_First_Arrived_Time,Eagle_First_Feeding_Time,Time_difference
2021.2.10,Food102,Feed6,0,2,20,503,504,1
2021.2.10,Food104,Feed36,11,11,28,489,490,1
2021.2.10,Food106,Feed18,18,41,23,465,484,19
2021.2.11,Food101,Feed18,0,0,17,483,483,0
2021.2.11,Food102,Feed36,12,12,16,477,477,0
2021.2.11,Food104,Feed6,28,27,12,465,465,0
2021.2.12,Food101,Feed6,0,0,0,540,540,0
2021.2.12,Food102,Feed18,0,0,0,540,540,0
2021.2.12,Food106,Feed36,14,17,18,463,464,1
2021.2.13,Food101,Feed36,12,12,13,492,492,0
2021.2.13,Food104,Feed18,16,20,12,480,482,2
2021.2.13,Food106,Feed6,16,14,6,476,477,1
2021.2.18,Food102,Feed6,0,0,0,476,476,0
2021.2.18,Food104,Feed36,0,0,0,460,463,3
2021.2.18,Food106,Feed18,0,0,0,468,468,0
2021.2.19,Food101,Feed18,0,0,21,464,465,1
2021.2.19,Food102,Feed36,0,0,24,458,459,1
2021.2.19,Food104,Feed6,28,25,8,456,457,1
2021.2.20,Food101,Feed6,0,0,0,499,499,0
2021.2.20,Food102,Feed18,0,0,0,460,473,13
2021.2.20,Food106,Feed36,0,0,0,452,452,0
2021.2.21,Food101,Feed36,18,28,28,457,464,7
2021.2.21,Food104,Feed18,16,17,22,454,455,1
2021.2.21,Food106,Feed6,12,19,9,449,451,2
