Date,Location,Food_Amount,Eagle_Peak_Sequence_EOS,Eagle_Arrival_Sequence_AOS_E,Crow_Arrival_Sequence_AOS_C
2021/2/10,102,6,3,3,1
2021/2/10,104,36,2,2,2
2021/2/10,106,18,1,1,2
2021/2/11,101,18,3,3,3
2021/2/11,102,36,2,2,2
2021/2/11,104,6,1,1,1
2021/2/12,101,6,3,3,3
2021/2/12,102,18,3,3,2
2021/2/12,106,36,1,1,1
2021/2/13,101,36,3,3,1
2021/2/13,104,18,2,2,3
2021/2/13,106,6,1,1,2
2021/2/18,102,6,3,3,3
2021/2/18,104,36,2,1,2
2021/2/18,106,18,1,2,1
2021/2/19,101,18,3,3,3
2021/2/19,102,36,2,2,2
2021/2/19,104,6,1,1,1
2021/2/20,101,6,3,3,3
2021/2/20,102,18,2,2,2
2021/2/20,106,36,1,1,1
2021/2/21,101,36,3,3,2
2021/2/21,104,18,2,2,2
2021/2/21,106,6,1,1,1
