Date,Site,Food_Amount,CAT,CFT,EAT,EFT
2021.2.10,Food102,Feed6,457,503,503,504
2021.2.10,Food104,Feed36,458,474,489,490
2021.2.10,Food106,Feed18,458,464,465,484
2021.2.11,Food101,Feed18,484,486,483,483
2021.2.11,Food102,Feed36,473,476,477,477
2021.2.11,Food104,Feed6,455,456,465,465
2021.2.12,Food101,Feed6,540,540,540,540
2021.2.12,Food102,Feed18,482,483,540,540
2021.2.12,Food106,Feed36,456,459,463,464
2021.2.13,Food101,Feed36,453,454,492,492
2021.2.13,Food104,Feed18,471,472,480,482
2021.2.13,Food106,Feed6,459,462,476,477
2021.2.18,Food102,Feed6,469,482,476,476
2021.2.18,Food104,Feed36,456,457,460,463
2021.2.18,Food106,Feed18,455,456,468,468
2021.2.19,Food101,Feed18,463,463,464,465
2021.2.19,Food102,Feed36,459,459,458,459
2021.2.19,Food104,Feed6,450,452,456,457
2021.2.20,Food101,Feed6,467,467,499,499
2021.2.20,Food102,Feed18,457,457,460,473
2021.2.20,Food106,Feed36,450,450,452,452
2021.2.21,Food101,Feed36,453,454,457,464
2021.2.21,Food104,Feed18,453,453,454,455
2021.2.21,Food106,Feed6,444,449,449,451
