frame,date,site,crow_all,crow_feed,proportion
1,20210210,Food101,0,0,NA
2,20210210,Food101,0,0,NA
3,20210210,Food101,0,0,NA
4,20210210,Food101,0,0,NA
5,20210210,Food101,0,0,NA
6,20210210,Food101,0,0,NA
7,20210210,Food101,0,0,NA
8,20210210,Food101,0,0,NA
9,20210210,Food101,0,0,NA
10,20210210,Food101,0,0,NA
11,20210210,Food101,0,0,NA
12,20210210,Food101,0,0,NA
13,20210210,Food101,0,0,NA
14,20210210,Food101,0,0,NA
15,20210210,Food101,0,0,NA
16,20210210,Food101,0,0,NA
17,20210210,Food101,0,0,NA
18,20210210,Food101,0,0,NA
19,20210210,Food101,0,0,NA
20,20210210,Food101,0,0,NA
21,20210210,Food101,0,0,NA
22,20210210,Food101,0,0,NA
23,20210210,Food101,0,0,NA
24,20210210,Food101,0,0,NA
25,20210210,Food101,0,0,NA
26,20210210,Food101,0,0,NA
27,20210210,Food101,0,0,NA
28,20210210,Food101,0,0,NA
29,20210210,Food101,0,0,NA
30,20210210,Food101,0,0,NA
31,20210210,Food101,0,0,NA
32,20210210,Food101,0,0,NA
33,20210210,Food101,0,0,NA
34,20210210,Food101,0,0,NA
35,20210210,Food101,0,0,NA
36,20210210,Food101,0,0,NA
37,20210210,Food101,0,0,NA
38,20210210,Food101,0,0,NA
39,20210210,Food101,0,0,NA
40,20210210,Food101,0,0,NA
1,20210210,Food102,0,0,NA
2,20210210,Food102,0,0,NA
3,20210210,Food102,0,0,NA
4,20210210,Food102,0,0,NA
5,20210210,Food102,0,0,NA
6,20210210,Food102,0,0,NA
7,20210210,Food102,0,0,NA
8,20210210,Food102,0,0,NA
9,20210210,Food102,0,0,NA
10,20210210,Food102,0,0,NA
11,20210210,Food102,0,0,NA
12,20210210,Food102,0,0,NA
13,20210210,Food102,0,0,NA
14,20210210,Food102,0,0,NA
15,20210210,Food102,0,0,NA
16,20210210,Food102,0,0,NA
17,20210210,Food102,0,0,NA
18,20210210,Food102,0,0,NA
19,20210210,Food102,1,0,0
20,20210210,Food102,1,0,0
21,20210210,Food102,5,2,0.4
22,20210210,Food102,3,0,0
23,20210210,Food102,3,0,0
24,20210210,Food102,1,0,0
25,20210210,Food102,5,1,0.2
26,20210210,Food102,4,1,0.25
27,20210210,Food102,6,4,0.6666666666666666
28,20210210,Food102,0,0,NA
29,20210210,Food102,6,3,0.5
30,20210210,Food102,4,2,0.5
31,20210210,Food102,4,2,0.5
32,20210210,Food102,3,1,0.3333333333333333
33,20210210,Food102,3,1,0.3333333333333333
34,20210210,Food102,1,0,0
35,20210210,Food102,1,1,1
36,20210210,Food102,4,2,0.5
37,20210210,Food102,5,1,0.2
38,20210210,Food102,0,0,NA
39,20210210,Food102,0,0,NA
40,20210210,Food102,0,0,NA
1,20210210,Food104,3,0,0
2,20210210,Food104,5,2,0.4
3,20210210,Food104,0,0,NA
4,20210210,Food104,0,0,NA
5,20210210,Food104,5,3,0.6
6,20210210,Food104,7,3,0.42857142857142855
7,20210210,Food104,0,0,NA
8,20210210,Food104,7,2,0.2857142857142857
9,20210210,Food104,8,3,0.375
10,20210210,Food104,8,2,0.25
11,20210210,Food104,8,1,0.125
12,20210210,Food104,7,2,0.2857142857142857
13,20210210,Food104,9,0,0
14,20210210,Food104,14,2,0.14285714285714285
15,20210210,Food104,11,1,0.09090909090909091
16,20210210,Food104,8,1,0.125
17,20210210,Food104,11,1,0.09090909090909091
18,20210210,Food104,0,0,NA
19,20210210,Food104,0,0,NA
20,20210210,Food104,0,0,NA
21,20210210,Food104,15,4,0.26666666666666666
22,20210210,Food104,13,5,0.38461538461538464
23,20210210,Food104,15,5,0.3333333333333333
24,20210210,Food104,20,7,0.35
25,20210210,Food104,16,5,0.3125
26,20210210,Food104,0,0,NA
27,20210210,Food104,0,0,NA
28,20210210,Food104,0,0,NA
29,20210210,Food104,0,0,NA
30,20210210,Food104,10,7,0.7
31,20210210,Food104,0,0,NA
32,20210210,Food104,0,0,NA
33,20210210,Food104,0,0,NA
34,20210210,Food104,0,0,NA
